epoch,accuracy,loss,val_accuracy,val_loss
0,0.5801937580108643,0.6721946001052856,0.7783601880073547,0.6082247495651245
1,0.8199560046195984,0.4530625641345978,0.8395732045173645,0.38641998171806335
2,0.8708756566047668,0.32028287649154663,0.8509921431541443,0.3528148829936981
3,0.893761396408081,0.26892349123954773,0.8547360301017761,0.3421204686164856
4,0.9100950360298157,0.23326674103736877,0.8513665199279785,0.34414100646972656
5,0.9209060668945312,0.20696529746055603,0.8517408967018127,0.34970545768737793
6,0.9299854636192322,0.18511225283145905,0.8517408967018127,0.3583312928676605
7,0.9382224678993225,0.16690921783447266,0.850243330001831,0.3727837800979614
8,0.9440726637840271,0.1517317295074463,0.850243330001831,0.3906688392162323
9,0.9512332081794739,0.13862344622612,0.8478097915649414,0.4062204658985138
10,0.9535732865333557,0.12764522433280945,0.8472481966018677,0.43029657006263733
11,0.9598914384841919,0.1167825236916542,0.8459378480911255,0.4460099935531616
12,0.9619038701057434,0.10953348129987717,0.832085371017456,0.4968847632408142
13,0.9669116139411926,0.09973786026239395,0.8363908529281616,0.503020167350769
14,0.9691112637519836,0.09270617365837097,0.8399475812911987,0.5217289328575134
15,0.9711236953735352,0.08660224825143814,0.8382627964019775,0.5396632552146912
0,0.5776196718215942,0.6684966087341309,0.7817296981811523,0.6007207632064819
1,0.8207048177719116,0.4488633871078491,0.839385986328125,0.3851267695426941
2,0.8734496831893921,0.3166804313659668,0.8536128997802734,0.35100075602531433
3,0.8943230509757996,0.26598724722862244,0.846125066280365,0.3578965365886688
4,0.9106098413467407,0.23104383051395416,0.8538000583648682,0.34281158447265625
5,0.9211400747299194,0.20543253421783447,0.8545488715171814,0.350084513425827
6,0.9313895106315613,0.18279516696929932,0.852489709854126,0.3635580539703369
7,0.9381756782531738,0.16704928874969482,0.851553738117218,0.37152305245399475
8,0.9446342587471008,0.15058781206607819,0.8511793613433838,0.3854556679725647
9,0.9509056210517883,0.1386171281337738,0.8509921431541443,0.4023306369781494
10,0.9553049206733704,0.12673938274383545,0.8466866612434387,0.4228205680847168
11,0.9594234228134155,0.1170973926782608,0.840696394443512,0.4593142569065094
12,0.9636355042457581,0.10751943290233612,0.8401347994804382,0.46936658024787903
13,0.9668647646903992,0.0990864634513855,0.833021342754364,0.5140187740325928
14,0.9685964584350586,0.09263217449188232,0.8341445326805115,0.5182934403419495
15,0.9723405241966248,0.08575316518545151,0.8386372327804565,0.5349990129470825
16,0.9738381505012512,0.08127173036336899,0.8313365578651428,0.5656135082244873
0,0.5700379014015198,0.6742792725563049,0.8034443855285645,0.616813600063324
1,0.8250105381011963,0.44217294454574585,0.826656699180603,0.3892425000667572
2,0.8718116879463196,0.3146315813064575,0.8530513048171997,0.3515470623970032
3,0.895446240901947,0.26419198513031006,0.8558592200279236,0.3428303301334381
4,0.9097205996513367,0.23113617300987244,0.8549232482910156,0.34615790843963623
5,0.9229184985160828,0.20268505811691284,0.8517408967018127,0.3654952347278595
6,0.930125892162323,0.1828947514295578,0.8478097915649414,0.3775840103626251
7,0.9388309121131897,0.16366340219974518,0.8491201996803284,0.3801172375679016
8,0.9457106590270996,0.1497838795185089,0.8504305481910706,0.3925185799598694
9,0.9520288109779358,0.136064812541008,0.846125066280365,0.41365286707878113
10,0.9557729363441467,0.1252441704273224,0.8464994430541992,0.43266189098358154
11,0.9597977995872498,0.11502533406019211,0.8476226329803467,0.4517742395401001
12,0.962605893611908,0.10679005831480026,0.844814658164978,0.47589820623397827
13,0.9660223722457886,0.09850017726421356,0.8397603631019592,0.504642903804779
14,0.969064474105835,0.09241294860839844,0.8397603631019592,0.5249079465866089
15,0.9721533060073853,0.08424344658851624,0.8365780711174011,0.551661491394043
0,0.606355607509613,0.6504379510879517,0.7794833183288574,0.5237666368484497
0,0.6234380006790161,0.6462188959121704,0.7989516854286194,0.51640784740448
1,0.8405485153198242,0.398806095123291,0.8463122248649597,0.370443195104599
2,0.880703866481781,0.29949283599853516,0.8523024916648865,0.35158342123031616
3,0.9006412029266357,0.25044313073158264,0.8541744947433472,0.3425717055797577
4,0.9173491597175598,0.2158048003911972,0.8538000583648682,0.3475058972835541
5,0.9301726818084717,0.18933793902397156,0.8532384634017944,0.3624705374240875
6,0.9364440441131592,0.1699390709400177,0.8478097915649414,0.3816199004650116
7,0.9445874691009521,0.15169377624988556,0.8496817946434021,0.39323025941848755
8,0.9498759508132935,0.1373872607946396,0.8485586047172546,0.4140092134475708
9,0.9546496868133545,0.12449169158935547,0.8446274995803833,0.43536046147346497
10,0.9603126049041748,0.11368434876203537,0.840321958065033,0.4677586257457733
11,0.9637291431427002,0.10357802361249924,0.8371396660804749,0.4981367588043213
12,0.9672859907150269,0.09615285694599152,0.8377012610435486,0.5218262076377869
13,0.9702344536781311,0.08764200657606125,0.8352676630020142,0.5530812740325928
14,0.9726213216781616,0.08147472143173218,0.8343316912651062,0.5738999247550964
15,0.973978579044342,0.07561533153057098,0.8317109942436218,0.6080996990203857
